snapshot_epoch,ad_name,video_id,channel,views,likes,comments,views_per_day,likes_per_1k_views,duration_seconds,days_since_upload
1778505235,est-e-lauder-re-nutriv-ultra-radiance-liquid-foundation-spf-20-luxurious-hydrati,z1I6I_FF0NM,matthew2miglio0804@gmail.com,540,9,0,540.0,16.67,22,1
1778505235,eye-contour-cream-supreme,8HSPJq5TtpI,matthew2miglio0804@gmail.com,0,0,0,0.0,0.0,0,2.0
1778505235,pave-heart-pendant,KMn2UcdM2Ro,matthew2miglio0804@gmail.com,0,0,0,0.0,0.0,0,4.0
1778505235,ruby-forever-heart,-11Iaob1mrw,matthew2miglio0804@gmail.com,0,0,0,0.0,0.0,0,4.0
1778505235,twin-stone-forever-heart,mixLmYZaHH8,matthew2miglio0804@gmail.com,0,0,0,0.0,0.0,0,4.0
1778505455,amika-aura-hair-and-body-mist-pink-grapefruit-juicy-apricot-warm-vanilla,8ukBc7rg9KE,matthew2miglio0804@gmail.com,331,9,0,120.0,27.19,21,2.8
1778505455,ap-beauty-by-amorepacific-ultimate-oil-to-milk-cleanser-200ml-6-76-fl-oz-removes,oqlGZVqG2EQ,matthew2miglio0804@gmail.com,268,6,0,97.6,22.39,19,2.7
1778505455,charlotte-tilbury-pillow-talk-dreams-come-true-makeup-kit-limited-edition-15-pie,wiREqyVBLls,matthew2miglio0804@gmail.com,1699,19,1,591.3,11.18,22,2.9
1778505455,cle-de-peau-beaute-radiant-fluid-foundation-natural-broad-spectrum-spf-25,MhGow5OacJ4,matthew2miglio0804@gmail.com,251,5,0,251.0,19.92,21,1
1778505455,cle-de-peau-clarifying-cleansing-foam-for-women-4-2-oz-cleanser,b8CK93LKzR8,matthew2miglio0804@gmail.com,434,12,0,145.5,27.65,21,3.0
1778505455,cle-de-peau-volumizing-cream-supreme,dDrRk74A5Wo,matthew2miglio0804@gmail.com,317,6,0,114.9,18.93,20,2.8
1778505455,color-control-cushion-compact-broad-spectrum-spf-50-korean-foundation-with-build,Siei5N5CBeo,matthew2miglio0804@gmail.com,150,3,0,50.7,20.0,22,3.0
1778505455,concealer-spf-27,-BBVuHSLreY,matthew2miglio0804@gmail.com,13,1,0,4.7,76.92,20,2.8
1778505455,cream-rouge-sparkles,fgJaGewUxts,matthew2miglio0804@gmail.com,190,4,0,69.0,21.05,20,2.8
1778505455,defining-lip-liner,ghLTcBOu9JY,matthew2miglio0804@gmail.com,1762,26,0,881.3,14.76,21,2.0
1778505455,discovery-skincare-kit-7-piece-skin-care-kit-travel-size-essentials-with-cleanse,ZnxuZeV6BHI,matthew2miglio0804@gmail.com,139,1,0,139.0,7.19,25,1
1778505455,enzyme-cleanser-75-g-gentle-exfoliation-powder-for-face-gentle-foaming-cleanse-s,QLNsDjFF7E8,matthew2miglio0804@gmail.com,0,0,0,0.0,0.0,0,1
1778505455,est-e-lauder-double-wear-stay-in-place-foundation-makeup-long-wear-matte-foundat,UpSSgKDHOMo,matthew2miglio0804@gmail.com,58,1,0,58.0,17.24,21,1
1778505455,est-e-lauder-re-nutriv-ultra-radiance-liquid-foundation-spf-20-luxurious-hydrati,z1I6I_FF0NM,matthew2miglio0804@gmail.com,540,9,0,540.0,16.67,22,1
1778505455,eye-contour-cream-supreme,8HSPJq5TtpI,matthew2miglio0804@gmail.com,0,0,0,0.0,0.0,0,2.0
1778505455,pave-heart-pendant,KMn2UcdM2Ro,matthew2miglio0804@gmail.com,0,0,0,0.0,0.0,0,4.0
1778505455,ruby-forever-heart,-11Iaob1mrw,matthew2miglio0804@gmail.com,0,0,0,0.0,0.0,0,4.0
1778505455,twin-stone-forever-heart,mixLmYZaHH8,matthew2miglio0804@gmail.com,0,0,0,0.0,0.0,0,4.0
